,0
大白菜,2
上海青,20
菜心,9
云南生菜,8
甜白菜,16
云南油麦菜,3
苋菜,17
菠菜,18
红薯尖,22
竹叶菜,7
黄白菜(2),14
外地茼蒿,47
小白菜,31
木耳菜,27
娃娃菜,6
黄心菜(1),21
东门口小白菜,39
南瓜尖,0
牛首油菜,25
快菜,0
奶白菜,23
蔡甸藜蒿,40
紫苏,0
茼蒿,15
本地上海青,36
萝卜叶,46
枝江红菜苔,10
牛首生菜,35
荠菜,0
四川红香椿,48
豌豆尖,0
白菜苔,29
随州泡泡青,37
丝瓜尖,0
本地黄心油菜,33
紫贝菜,0
田七,0
油菜苔,0
青菜苔,0
马齿苋,0
甘蓝叶,0
面条菜,0
薄荷叶,0
鲜粽子叶,0
黑油菜,0
冰草,0
芥菜,0
菊花油菜,0
大芥兰,0
奶白菜苗,0
芥兰,0
蒲公英,0
黄花菜,0
小青菜(1),32
双沟白菜,0
菜心(份),28
茼蒿(份),43
小青菜(2),41
云南油麦菜(份),11
菠菜(份),4
上海青(份),12
云南生菜(份),1
枝江红菜苔(份),41
洪山菜苔,0
襄甜红菜苔(袋),0
紫苏(份),0
马兰头,0
竹叶菜(份),26
鱼腥草,0
春菜,0
红薯尖(份),34
蔡甸藜蒿(份),0
红橡叶,0
绿牛油,0
红珊瑚(粗叶),0
保康高山大白菜,5
苋菜(份),38
槐花,0
奶白菜(份),13
黄心菜(2),30
小青菜(份),19
小白菜(份),42
鲜粽叶(袋)(2),0
芝麻苋菜,0
鲜粽叶,0
鲜粽叶(袋)(1),24
艾蒿,0
鱼腥草(份),45
外地茼蒿(份),0
本地小毛白菜,0
黄白菜(1),0
龙牙菜,0
冰草(盒),0
洪山菜薹珍品手提袋,0
洪山菜薹莲藕拼装礼盒,0
白蒿,0
大白菜秧,0
鲜粽叶(袋)(3),44
木耳菜(份),0
